school_code,concertado_status
11012322,No
11012358,No
11013193,No
11013296,No
11000642,No
11602782,No
11001361,No
11007995,No
11000721,No
11008318,No
11000691,No
11000629,No
11006401,No
11700366,No
11011512,No
11011214,No
11000711,No
11700937,No
11009293,No
11500493,No
11013533,No
11012206,No
11000812,No
11000770,No
11000794,No
11602800,No
11000769,No
11000782,No
11011226,No
11000605,No
11000824,No
11700949,No
11013570,No
11603491,No
11500602,No
11003953,No
11008331,No
11011721,No
11700421,No
11500171,No
11000976,No
11005381,Sí
11500109,No
11000991,No
11000988,No
11012796,No
11700755,No
11001749,No
11001373,No
11500389,No
11500377,No
11001476,Sí
11001348,Sí
11013031,No
11001579,Sí
11001555,Sí
11013004,No
11007961,No
11001841,Sí
11001609,Sí
11700792,Sí
11001351,Sí
11004489,No
11001041,Sí
11603415,Sí
11001385,Sí
11001415,No
11001294,Sí
11001403,Sí
11001567,Sí
11001580,Sí
11002237,No
11001211,Sí
11012747,No
11011937,No
11011147,No
11011652,No
11013491,No
11013119,No
11012899,No
11012292,No
11603658,No
11012164,No
11011949,No
11003370,No
11001178,No
11602988,No
11602526,No
11007481,No
11001610,No
11001129,No
11001154,No
11001166,No
11007363,No
11603105,No
11001099,No
11602824,No
11001646,No
11602836,No
11701176,No
11007788,No
11001932,No
11012413,No
11012528,No
11011457,No
11012504,No
11011445,No
11011433,No
11700457,No
11001762,No
11004556,No
11700299,No
11008501,No
11006486,No
11700287,No
11001828,No
11700688,No
11700317,No
11005640,No
11500560,No
11006723,No
11011731,No
11700950,No
11013065,No
11013181,No
11500468,No
11002985,No
11002195,Sí
11002183,Sí
11002161,Sí
11701218,Sí
11002171,Sí
11002080,Sí
11013016,No
11001968,No
11012139,No
11011986,No
11012000,No
11001257,No
11012449,No
11013582,No
11012395,No
11009396,No
11012531,No
11013454,No
11011524,No
11012280,No
11011858,No
11012176,No
11012334,No
11012942,No
11012841,No
11012103,No
11006589,No
11012255,No
11012723,No
11002109,No
11006747,No
11007843,No
11603312,No
11002146,No
11008321,No
11603427,No
11002201,No
11002158,No
11006917,No
11006528,No
11603476,No
11006759,No
11002134,No
11602851,No
11000186,No
11002225,No
11700241,No
11012462,No
11002092,No
11011421,No
11011275,No
11012361,No
11010431,No
11700408,No
11700354,No
11700962,No
11700123,No
11700883,No
11007582,No
11002213,No
11500250,No
11002250,Sí
11002262,Sí
11002286,No
11002274,No
11002298,No
11006929,No
11603178,No
11011822,No
11011548,No
11003345,No
11004131,No
11008471,No
11500471,No
11001993,Sí
11013077,No
11012191,No
11012152,No
11011019,No
11603300,No
11006905,No
11001324,No
11011883,No
11002018,No
11008461,No
11001661,No
11013247,No
11000939,No
11001026,No
11011834,No
11500201,No
11001038,No
11011861,No
11500067,No
11002353,No
11011743,No
11603294,No
11000496,No
11003473,No
11012693,No
11009530,No
11500390,No
11500420,No
11500432,No
11013144,No
11012981,No
11007341,No
11004362,Sí
11004349,Sí
11004325,Sí
11004477,No
11004465,No
11004337,Sí
11004283,Sí
11004258,Sí
11001397,No
11004313,Sí
11004386,Sí
11013405,No
11011901,No
11008860,No
11012565,No
11012309,No
11006590,No
11012784,No
11012644,No
11010647,No
11012917,No
11010477,No
11012371,No
11009323,No
11008057,No
11005299,No
11004568,No
11006531,No
11004209,No
11007442,No
11004453,No
11006541,No
11603521,No
11009311,No
11603245,No
11007399,No
11004246,No
11004234,No
11603026,No
11602897,No
11700378,No
11008148,No
11603622,No
11007739,No
11007697,No
11700822,No
11002079,No
11700445,No
11700810,No
11700834,No
11004428,No
11004416,No
11700603,No
11008525,No
11001919,No
11500328,No
11003588,No
11500158,No
11002328,No
11011810,No
11700986,No
11008859,No
11005664,No
11500304,No
11002471,No
11013569,No
11005895,No
11500341,No
11007867,No
11500195,No
11002407,No
11011792,No
11700998,No
11012425,No
11500353,No
11011913,No
11006553,No
11002493,No
11701000,No
11013363,No
11005688,No
11012632,No
11701012,No
11000757,No
11013041,No
11013090,No
11500262,No
11500444,No
11500316,No
11500225,No
11500274,No
11002912,Sí
11013028,No
11013521,No
11007296,No
11011664,No
11001075,No
11701255,No
11002845,Sí
11002766,Sí
11013132,No
11003291,No
11701279,Sí
11003001,Sí
11700901,No
11002717,Sí
11002870,Sí
11002924,Sí
11603646,No
11003011,Sí
11003242,Sí
11002808,Sí
11013466,No
11013201,No
11003023,Sí
11003451,Sí
11002857,Sí
11700391,No
11002730,Sí
11002936,Sí
11003266,Sí
11002754,Sí
11012073,No
11002778,Sí
11003047,Sí
11013442,No
11000964,Sí
11013235,No
11012383,No
11008291,No
11008240,No
11603592,No
11012929,No
11012802,No
11008872,No
11013557,No
11012930,No
11012966,No
11006176,No
11012553,No
11012619,No
11012875,No
11006577,No
11012221,No
11001269,No
11012814,No
11013089,No
11011998,No
11007144,No
11012541,No
11013171,No
11003436,No
11012668,No
11012851,No
11003333,No
11013478,No
11013053,No
11012701,No
11012140,No
11011494,No
11013107,No
11013120,No
11002523,No
11002997,No
11003059,No
11007016,No
11008094,No
11008100,No
11008252,No
11603002,No
11006565,No
11003084,No
11006425,No
11003321,No
11002560,No
11002663,No
11002547,No
11003254,No
11008288,No
11006607,No
11007557,No
11006930,No
11008136,No
11003278,No
11007028,No
11002602,No
11602991,No
11002675,No
11006772,No
11008276,No
11002951,No
11002626,No
11003281,No
11002572,No
11006966,No
11006981,No
11003187,No
11007946,No
11001087,No
11003382,No
11011411,No
11011408,No
11011330,No
11011263,No
11700627,No
11700160,No
11003217,No
11008513,No
11007387,No
11701127,No
11012267,No
11001890,No
11007922,No
11008483,No
11003230,No
11701139,No
11003205,No
11701115,No
11700172,No
11700767,No
11701140,No
11500559,No
11008756,No
11010994,No
11603439,No
11003621,No
11700184,No
11603518,No
11005342,No
11500286,No
11002444,No
11012188,No
11700482,No
11603014,No
11603063,No
11500547,No
11003722,Sí
11003813,Sí
11003801,Sí
11003734,No
11013338,No
11012024,No
11603579,No
11003758,No
11007429,No
11003837,No
11003761,No
11003692,No
11003795,No
11003709,No
11603351,No
11003783,No
11007041,No
11003825,No
11007417,No
11003710,No
11007065,No
11700071,No
11007077,No
11011755,No
11011305,No
11011317,No
11011329,No
11701152,No
11003916,No
11003874,No
11003862,No
11003886,No
11603385,No
11006127,Sí
11006139,No
11500584,No
11013430,No
11602976,No
11007636,No
11000885,No
11007624,No
11012061,No
11011299,No
11000289,No
11700561,No
11500511,No
11004003,Sí
11009025,No
11012218,No
11603361,No
11603567,No
11004040,No
11004015,No
11009529,No
11007910,No
11004039,No
11003412,No
11011287,No
11500365,No
11003461,No
11500018,No
11004064,No
11004076,No
11009797,No
11000083,No
11000630,No
11006671,No
11009104,No
11000952,No
11500523,No
11602861,No
11004106,No
11012115,No
11700780,No
11500122,No
11004118,No
11602873,No
11000149,No
11011470,No
11003394,No
11700500,No
11005691,No
11011925,No
11500407,No
11004611,Sí
11004635,Sí
11004623,Sí
11012711,No
11007511,No
11004684,No
11004659,No
11004660,No
11008011,No
11012589,No
11011500,No
11012863,No
11011676,No
11008173,No
11011482,No
11700718,No
11004672,No
11700433,No
11004696,No
11500092,No
11004738,No
11007089,No
11011241,No
11011809,No
11700640,No
11010660,No
11602885,No
11011688,No
11701231,No
11602848,No
11701036,No
11500249,No
11004842,Sí
11004830,Sí
11006498,Sí
11012450,Sí
11700809,No
11011871,No
11004295,No
11008975,No
11011573,No
11011950,No
11004805,No
11004854,No
11007090,No
11004775,No
11004829,No
11011779,No
11011895,No
11012516,No
11011767,No
11007533,No
11701164,No
11004866,No
11013429,No
11011251,No
11007651,No
11500419,No
11005111,Sí
11005101,Sí
11005019,Sí
11005020,Sí
11005007,Sí
11007909,No
11603610,Sí
11603130,Sí
11010659,No
11001191,No
11008549,No
11012671,No
11007168,No
11012620,No
11012437,No
11004532,No
11006656,No
11012279,No
11011123,No
11008604,No
11008380,No
11008537,No
11003357,No
11009116,No
11009487,No
11005135,No
11007260,No
11006619,No
11004911,No
11004982,No
11603373,No
11005317,No
11004210,No
11005263,No
11602629,No
11007740,No
11603038,No
11004908,No
11007272,No
11603051,No
11005160,No
11603270,No
11004970,No
11007223,No
11006383,No
11005329,No
11700469,No
11701267,No
11011238,No
11012048,No
11011342,No
11001105,No
11700639,No
11700721,No
11002651,No
11005241,No
11700512,No
11700147,No
11005275,No
11008239,No
11005287,No
11003503,No
11500298,No
11003564,Sí
11003515,No
11003539,No
11011691,No
11701048,No
11007715,No
11003655,No
11700779,No
11011093,No
11003667,No
11500596,No
11008070,No
11011101,No
11602903,No
11603555,No
11007181,No
11005718,No
11012838,No
11011354,No
11700081,No
11007791,No
11005743,No
